sentence,prediction,gold,is_same
[CLS] Hans Zimmermann is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Social Party,Nazi Party | NSDAP | National Socialist German Workers ' Party | Nationalsozialistische:4 Deutsche Arbeiterpartei:2 | Nazi Party,False
[CLS] Martin Pakula:2 is a member of the [MASK] [MASK] political party . [SEP],Pakula:2,Australian Labor Party | ALP:2 | Australian Labor Party | Australian Labour Party | Labor | Labor Environment Action Network | The Australian Labor Party,False
[CLS] Alyn:2 Smith is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Scottish National Party | SNP | Scottish National Party,False
[CLS] David Emerson is a member of the [MASK] [MASK] [MASK] political party . [SEP],Greensboro:3,Conservative Party of Canada | Conservative Party of Canada | Parti conservateur du Canada | Tories:2,False
[CLS] Praveen:3 Rashtrapal:4 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] William Bennett is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Labour Party | Labour | Labour Party | Labour Party ( UK ),False
[CLS] Juan Francisco Rivera Bedoya:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Democratic Party,Institutional:2 Revolutionary Party | Institutional:2 Revolutionary Party | National Revolutionary Party | Partido Constitucionalista:2 | Partido de centro izquierda | Party of the Mexican Revolution,False
[CLS] Reinert:2 Torgeirson:4 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Ar Ar Ar,Communist Party of Norway | Communist Party of Norway,False
[CLS] Kazimierz Plocke:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Poland,Civic Platform | Civic Platform | Platforma:2 Obywatelska:4,False
[CLS] Chaudhary:4 Lal:2 Singh is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Bharatiya:4 Janata:2 Party | BJP:3 | Bharatiya:4 Janata:2 Party,False
[CLS] Sten Nordin:2 is a member of the [MASK] [MASK] political party . [SEP],Nordin:2,Moderate:2 Party | Moderate:2 Party,False
[CLS] Shlomo:3 Benizri:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Shlomo:3,Shas:2 | Shas:2,False
[CLS] Amarpal:2 Singh Ajnala:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Shiromani:3 Akali:2 Dal | Akali:2 Dal | SAD | Shiromani:3 Akali:2 Dal,False
[CLS] Horst Mahler is a member of the [MASK] political party . [SEP],Mahler,National Democratic Party of Germany | NPD:2 | National Democratic Party of Germany | Nationaldemokratische:5 Partei Deutschlands,False
[CLS] Maria Minna:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Ra Ra Ra Ra Ra,Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] Harshana:3 Rajakaruna:3 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,United National Party | United National Party,False
[CLS] Charles Rich is a member of the [MASK] [MASK] [MASK] political party . [SEP],Greensboro:3,Democratic - Republican Party | Democratic - Republican Party,False
[CLS] Danny López Soto is a member of the [MASK] [MASK] [MASK] political party . [SEP],LLP:3,New Progressive Party of Puerto Rico | New Progressive Party of Puerto Rico | PNP:2,False
[CLS] Luc Van den Brande:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,Christian Democratic and Flemish:3 | CD & V | Christen - Democratisch:2 en Vlaams | Christian Democratic and Flemish:3,False
[CLS] Corey Mock:2 is a member of the [MASK] [MASK] political party . [SEP],United States,North Dakota Democratic - Nonpartisan:3 League Party | D - NPL:2 | Dem - NPL:2 | Democratic NPL:2 | North Dakota Democratic - Nonpartisan:3 League Party,False
[CLS] Francisc:2 Panet:2 is a member of the [MASK] [MASK] political party . [SEP],Panet:2,Romanian Communist Party | PCR | Partidul Comunist:3 Roman | Partidul Comunist:3 Român:2 | Romanian Communist Party,False
[CLS] Wilhelm Amsinck:3 Burchard:3 - Motz:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,Nazi Party | NSDAP | National Socialist German Workers ' Party | Nationalsozialistische:4 Deutsche Arbeiterpartei:2 | Nazi Party,False
[CLS] A . K . Antony is a member of the [MASK] [MASK] [MASK] political party . [SEP],A . K,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] Gustav Sobottka:3 is a member of the [MASK] [MASK] political party . [SEP],Sobot:2,Communist Party of Germany | Communist Party of Germany | KPD,False
[CLS] Chandresh:3 Patel Kordia:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4,Bharatiya:4 Janata:2 Party | BJP:3 | Bharatiya:4 Janata:2 Party,False
[CLS] Özkan:3 Yorgancıoğlu:4 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],K K K K K,Republican Turkish Party | RTP:2 | Republican Turkish Party,False
[CLS] Cora:2 Taylor Casselman:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] Tom Froese is a member of the [MASK] [MASK] political party . [SEP],United States,Progressive Conservative Party of Ontario | Ontario Progressive Conservative Party | Parti progressiste:2 - conservateur de l ' Ontario | Progressive Conservative Party of Ontario | Tories:2,False
[CLS] Prosper:2 Poullet:2 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Catholic Party | Catholic Party,False
[CLS] María Sornosa:3 Martinez is a member of the [MASK] [MASK] [MASK] political party . [SEP],Sornosa:3,Spanish Socialist Workers ' Party | PSOE | Partido Socialista Obrero:2 Español | Spanish Socialist Workers ' Party,False
[CLS] Xu Qinxian:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of China,Communist Party of China | CCP:2 | CPC:2 | Chinese Communist Party | Communist Party of China | TG:2,False
[CLS] Tarun:2 Ram Phukan:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],BJP:3,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] Hanna Suchocka:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Poland,Democratic Union | Democratic Union,False
[CLS] Saddam Hussein is a member of the [MASK] [MASK] political party . [SEP],Sunni:2,Ba ' ath:2 Party | Ba ' ath:2 Party,False
[CLS] Rama Devi is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Bharatiya:4 Janata:2 Party | BJP:3 | Bharatiya:4 Janata:2 Party,False
[CLS] Hemchandra:4 Burman:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],BJP:3,Bharatiya:4 Janata:2 Party | BJP:3 | Bharatiya:4 Janata:2 Party,True
[CLS] Michel Roussin:3 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Rally for the Republic | RPR:2 | Rally for the Republic | Rassemblement:3 pour la Republique:3 | Rassemblement:3 pour la République,False
[CLS] Hugo Vandenberghe:4 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,Christian Democratic and Flemish:3 | CD & V | Christen - Democratisch:2 en Vlaams | Christian Democratic and Flemish:3,False
[CLS] Tjeerd:3 van Dekken:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],K K K K K,Labour Party | Labour Party | Partij van de Arbeid:3 | PvdA:3,False
[CLS] Yasutoshi:4 Nishimura:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Nishimura:3,Liberal Democratic Party | Jiminto:2 | Jimintō:3 | LDP:2 | Liberal Democratic Party | Liberal Democratic Party of Japan,False
[CLS] Freya:2 Piryns:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],U . S .,Groen:2 | Groen:2 | Groen:2 !,False
[CLS] Roman Zambrowski:4 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Poland,Polish Workers ' Party | Polish Workers ' Party,False
[CLS] John McMillan:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Liberal Party of Canada | Grits:2 | LPC:2 | Liberal Party of Canada,False
[CLS] Bashir:2 Ahmad is a member of the [MASK] [MASK] political party . [SEP],Bangladesh Bangladesh,Scottish National Party | SNP | Scottish National Party,False
[CLS] Alfons Gorbach:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Gorbach:3,Austrian People ' s Party | Austrian People ' s Party | ÖVP | Österreichische Volkspartei:2,False
[CLS] Odd Holten:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Norway,Christian Democratic Party | Christian Democratic Party | KrF:2,False
[CLS] Harcharan:3 Singh Balli:2 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] Rafael Erich is a member of the [MASK] [MASK] [MASK] political party . [SEP],K K K,National Coalition Party | Kansallinen:3 Kokoomus:4 | Kansallinen:3 Kokoomus:4 r . p . | Kansallinen:3 Kokoomuspuolue:6 | Kansallinen:3 Kokoomuspuolueen:7 Keskusliitto:4 r . y . | Kokoomus:4 | NCP:2 | National Coalition Party | Samlingspartiet:3 | Samlingspartiet:3 r . p .,False
[CLS] Margareta Cederfelt:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],socialdemokrata:4,Moderate:2 Party | Moderate:2 Party,False
[CLS] Ernst Damzog:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Social Party,Nazi Party | NSDAP | National Socialist German Workers ' Party | Nationalsozialistische:4 Deutsche Arbeiterpartei:2 | Nazi Party,False
[CLS] Brij:2 Bhushan:3 Mehra:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,Indian National Congress | Congress | INC:2 | Indian National Congress,False
[CLS] Dianne:2 Yates is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,New Zealand Labour Party | New Zealand Labour Party,False
[CLS] Raymond Guyot:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],divers - gauche,French Communist Party | French Communist Party | PCF:2 | Parti communiste français,False
[CLS] Patricia Ferguson is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Scottish Labour Party | Scottish Labour | Scottish Labour Party,False
[CLS] Maryam:2 Rajavi:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Bharatiya:4 Party,"People ' s Mujahedin:4 of Iran | People ' s Mujahedin:4 of Iran | People ' s Mujahedin:4 of Iran , PMOI:3",False
[CLS] Johann Baptist Gradl:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,Centre Party | Centre Party | Deutsche Zentrumspartei:2 | ZP:2 | Zentrum,False
[CLS] Jesús Alcántara:3 Núñez is a member of the [MASK] [MASK] political party . [SEP],Social Social,Institutional:2 Revolutionary Party | Institutional:2 Revolutionary Party | National Revolutionary Party | Partido Constitucionalista:2 | Partido de centro izquierda | Party of the Mexican Revolution,False
[CLS] Maragatham:3 K is a member of the [MASK] [MASK] [MASK] political party . [SEP],Maragatham:3,All India Anna Dravida:3 Munnetra:3 Kazhagam:4 | AIADMK:4 | All India Anna Dravida:3 Munnetra:3 Kazhagam:4,False
[CLS] Neville Roper:2 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Alberta Social Credit Party | Alberta Social Credit Party,False
[CLS] Hashim:2 Safi:2 Al Din is a member of the [MASK] [MASK] political party . [SEP],Safi:2,Hezbollah:3 | Hezbollah:3 | Hizbullah:4 | Lebanese Hizbullah:4,False
[CLS] Derek Nolan is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Labour Party | Labour Party,False
[CLS] Andrew Buchanan is a member of the [MASK] [MASK] [MASK] political party . [SEP],Scotland of Scotland,Jacksonian:2 Democracy | Jacksonian:2 Democracy,False
[CLS] Amalia Fleming is a member of the [MASK] [MASK] political party . [SEP],United States,Panhellenic:4 Socialist Movement | PASOK:3 | Panhellenic:4 Socialist Movement,False
[CLS] T . Pachamal:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],BJP:3,All India Anna Dravida:3 Munnetra:3 Kazhagam:4 | AIADMK:4 | All India Anna Dravida:3 Munnetra:3 Kazhagam:4,False
[CLS] Robert Alexander Walker is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Saskatchewan New Democratic Party | Saskatchewan New Democratic Party,False
[CLS] Ingrid Lieten:2 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Party of Norway,Socialist Party Different | Socialist Party Different | Socialistische:2 Partij Anders | sp . a,False
[CLS] Makongoro:3 Nyerere:2 is a member of the [MASK] [MASK] political party . [SEP],Democratic Party,Party of the Revolution | CCM:2 | Chama:2 cha Mapinduzi:3 | Party of the Revolution,False
[CLS] Alasdair:3 Webster is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Liberal Party of Australia | Lib:2 | Liberal Party of Australia,False
[CLS] Wojciech Jaruzelski:3 is a member of the [MASK] [MASK] political party . [SEP],Tor Tor,Polish United Workers ' Party | PZPR:3 | Polish United Workers ' Party,False
[CLS] Charles Langelier:2 is a member of the [MASK] [MASK] political party . [SEP],Labour Party,Quebec Liberal Party | PLQ:2 | Parti liberal du Quebec | Parti libéral du Québec | Quebec Liberal Party,False
[CLS] Daniel Johnson is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Union Nationale | Union Nationale,False
[CLS] Art Staed:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],U . S .,Iowa Democratic Party | Iowa Democratic Party,False
[CLS] Anton Lubowski:3 is a member of the [MASK] [MASK] [MASK] [MASK] political party . [SEP],Communist Party of Poland,South - West Africa People ' s Organization | SWAPO:3 | SWAPO:3 Party | South West African People ' s Organization | South - West Africa People ' s Organization,False
[CLS] George Rankin:2 is a member of the [MASK] [MASK] [MASK] [MASK] [MASK] political party . [SEP],Rankin:2 - Rankin:2,National Party of Australia | Australian Country Party | National Country Party | National Party of Australia,False
[CLS] Robin Richardson is a member of the [MASK] [MASK] [MASK] political party . [SEP],House of Commons,Progressive Conservative Party of Canada | Progressive Conservative Party of Canada,False
[CLS] Anouchka:3 van Miltenburg:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],P P P,People ' s Party for Freedom and Democracy | People ' s Party for Freedom and Democracy | VVD:2 | Volkspartij:4 voor Vrijheid:3 en Democratie:2,False
[CLS] Christian Waber:3 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social Social Party,Federal Democratic Union of Switzerland | Federal Democratic Union of Switzerland,False
[CLS] Hartmut:2 Schwesinger:4 is a member of the [MASK] [MASK] [MASK] political party . [SEP],Social - Social,Christian Democratic Union | CDU | Christian Democratic Union | Christian Democratic Union of Germany | Christlich:2 Demokratische:3 Union | Christlich:2 Demokratische:3 Union Deutschlands,False
[CLS] Najeeb:3 Ahmed is a member of the [MASK] [MASK] political party . [SEP],Pakistan Pakistan,Pakistan Peoples Party | PPP:2 ( Pakistan ) | Pakistan People ' s Party | Pakistan Peoples Party | Pakistani People ' s Party,False
